,delta18O,Temperature (deg. C),X-coordinate,Z-coordinate
0,8.5,113.0,406602.0,0.0
1,7.4,104.0,406006.0,0.0
2,7.6,106.0,395159.0,2.0
3,7.4,104.0,392362.0,9.0
4,7.3,104.0,390709.0,9.0
5,8.6,113.0,395159.0,25.0
6,12.2,140.0,390709.0,37.0
7,7.4,104.0,386143.0,45.0
8,7.4,104.0,395186.0,60.0
9,8.2,110.0,390377.0,74.0
10,6.2,96.0,405285.0,74.0
11,5.4,90.0,405285.0,76.0
12,5.4,90.0,397818.0,101.0
13,0.8,170.0,28112.0,3719.0
14,4.5,166.0,43204.0,3783.0
15,2.1,166.0,47473.0,3792.0
16,3.5,130.0,85233.0,4094.0
17,1.3,169.0,49444.0,3728.0
18,1.7,171.0,59340.0,3685.0
19,5.3,0.0,50497.0,4278.0
20,5.9,73.0,31238.0,4221.0
21,4.6,156.0,-8388.0,3920.0
22,2.9,163.0,-38931.0,3840.0
23,2.0,169.0,-38777.0,3731.0
24,1.3,150.0,-59924.0,3975.0
25,1.3,147.0,-77898.0,3999.0
26,10.4,153.0,-82599.0,3950.0
27,2.2,170.0,-55332.0,3706.0
28,8.5,174.0,-38036.0,3597.0
29,3.0,172.0,-15090.0,3658.0
30,3.3,166.0,-49533.0,3795.0
31,3.5,176.0,-109093.0,3536.0
32,-0.9,156.0,-137875.0,3926.0
33,0.7,158.0,-137605.0,3901.0
34,0.4,141.0,-114951.0,4039.0
35,1.6,138.0,-151114.0,4057.0
36,3.8,184.0,198832.0,3097.0
37,1.8,186.0,234788.0,2926.0
38,6.5,139.0,29405.0,4051.0
39,6.9,81.0,3540.0,4210.0
40,7.5,152.0,39532.0,3962.0
41,6.9,165.0,74896.0,3805.0
42,7.3,183.0,205123.0,3170.0
43,4.4,48.0,74110.0,4246.0
44,4.8,74.0,54149.0,4219.0
45,4.9,67.0,130042.0,4228.0
46,5.3,18.0,151596.0,4268.0
47,5.5,132.0,149531.0,4084.0
48,3.4,148.0,120514.0,3993.0
49,4.1,158.0,121678.0,3901.0
50,2.1,173.0,133385.0,3627.0
51,1.5,182.0,138954.0,3267.0
52,3.0,120.0,-116544.0,4127.0
53,1.6,146.0,-87321.0,4008.0
54,2.3,133.0,-93904.0,4081.0
55,1.4,155.0,-185829.0,3932.0
56,2.1,165.0,-140093.0,3810.0
57,2.4,171.0,-122067.0,3679.0
58,0.5,184.0,135170.0,3146.0
59,-0.5,182.0,-21634.0,3240.0
60,0.1,181.0,103592.0,3304.0
61,2.3,180.0,114303.0,3389.0
62,0.1,186.0,40795.0,2963.0
63,-1.6,187.0,-221417.0,2874.0
64,6.3,160.0,-2729.0,3880.0
65,6.7,157.0,-9083.0,3917.0
66,5.9,156.0,5416.0,3920.0
67,6.6,170.0,42638.0,3719.0
68,6.5,174.0,66770.0,3612.0
69,6.6,182.0,113998.0,3292.0
70,7.1,185.0,169232.0,3048.0
71,6.6,180.0,-167016.0,3368.0
72,2.6,184.0,-137370.0,3139.0
73,2.9,170.0,-240434.0,3709.0
74,3.7,167.0,-231329.0,3770.0
75,0.5,176.0,-237858.0,3542.0
76,6.2,181.0,-193225.0,3341.0
77,2.3,166.0,-239783.0,3792.0
78,3.1,147.0,-232214.0,3999.0
79,2.7,152.0,-221183.0,3962.0
80,3.3,161.0,-195631.0,3865.0
81,1.8,178.0,-132134.0,3475.0
82,1.4,172.0,-114087.0,3658.0
83,2.1,156.0,-64847.0,3920.0
84,3.6,156.0,-37414.0,3926.0
85,4.1,157.0,-29214.0,3908.0
86,4.0,157.0,-28495.0,3908.0
87,3.1,172.0,-36417.0,3652.0
